Num,Platillo,Color,
1,Ajo,verde
2,Queso,azul
3,Papa,verde
4,Chile cascabel,verde
5,Lechuga,verde
6,Chile guajillo,verde
7,Cebolla,verde
8,Cebolla,verde
9,Papa,verde
10,Chile pasilla,verde
11,X,blanco
12,Huevo,azul
13,Pescado,azul
14,Cebolla,verde
15,Cebolla,verde
16,Durazno,naranja
17,X,blanco
18,Chile pasilla,verde
19,Limón,naranja
20,Queso,azul
21,Chorizo,azul
22,X,blanco
23,Crema,azul
24,Cebolla,verde
25,X,blanco
26,Chicharrón,azul
27,Cilantro,verde
28,X,blanco
29,X,blanco
30,Queso,azul
31,Huevo,azul
32,Jamón,azul
33,Huevo,azul
34,X,blanco
35,Tortillas,amarillo
36,X,blanco
37,Ajo,verde
38,Chile guajillo,verde
39,Calabaza,verde
40,Ajonjolí,rojo
41,Ajo,verde
42,Ajo,verde
43,Cebolla,verde
44,Naranja,naranja
45,Huevo,azul
46,Papa,verde
47,Chile serrano,verde
48,X,blanco
49,Chile chipotle,verde
50,Jitomate,naranja
51,Cilantro,verde
52,Maíz pozolero,amarillo
53,X,blanco
54,X,blanco
55,Nopales,verde
56,Cebolla,verde
57,Tortilla de maíz,amarillo
58,Chile guajillo,verde
59,Cebolla,verde
60,Tortillas,amarillo
61,Chile serrano,verde
62,Ajo,verde
63,X,blanco
64,X,blanco
65,Apio,verde
66,Chile serrano,verde
67,Chile chipotle,verde
68,Manteca de cerdo,azul
69,Manteca de cerdo,azul
70,Bolillo,amarillo
71,Aguacate,naranja
