Num,Platillo,Color,
1,Cacao,rojo
2,Canela,rosa
3,Canela,rosa
4,Queso añejo,azul
5,Coco,naranja
6,Tamarindo,naranja
7,Canela,rosa
8,X,blanco
9,Pulque,morado
10,Canela,rosa
11,Arroz,amarillo
12,Nurite,rosa
13,X,blanco
14,X,blanco
15,X,blanco
16,Aguardiente,morado
17,X,blanco
18,Chile,verde
19,Piña,naranja
20,X,blanco
21,X,blanco
22,X,blanco
23,Canela,rosa
24,X,blanco
25,Jobo,naranja
26,X,blanco
27,X,blanco
28,Piloncillo,morado
29,Aguardiente,morado
30,Salsa picante,morado
31,Clavo,rosa
32,X,blanco
33,Vainilla,morado
34,Canela,rosa
35,Cacao,rojo
36,Maíz,amarillo
37,Cacao,rojo
38,Bejuco espinoso,verde
39,X,blanco
40,X,blanco
41,Cacao,rojo
42,X,blanco
43,Canela,rosa
44,Vino tinto,morado
45,Chile,verde
46,Chile,verde
47,X,blanco
48,Leche,azul
49,
50,Azúcar,morado
51,Cacao,rojo
52,Sal de grano,rosa
53,Clavo,rosa
54,X,blanco
55,Naranja,naranja
56,Cebolla,verde
57,Almendra,rojo
58,Membrillo,naranja
59,Clavo de olor,rosa
60,Cacao,rojo
61,X,blanco
62,X,blanco
