Num,Platillo,Color,
1,Cebolla,verde
2,X,blanco
3,X,blanco
4,Chivo,azul
5,Chile guajillo,verde
6,X,blanco
7,X,blanco
8,X,blanco
9,Chile guajillo,verde
10,Chile guajillo,verde
11,X,blanco
12,X,blanco
13,X,blanco
14,X,blanco
15,Pollo,azul
16,Pera,naranja
17,X,blanco
18,Cerdo,azul
19,Cebolla,verde
20,X,blanco
21,Pollo,azul
22,X,blanco
23,X,blanco
24,Tocino,azul
25,X,blanco
26,X,blanco
27,Chicarrón,azul
28,X,blanco
29,X,blanco
30,X,blanco
31,X,blanco
32,X,blanco
33,X,blanco
34,X,blanco
35,Cebolla,verde
36,X,blanco
37,X,blanco
38,Chile mulato,verde
39,Cebolla,verde
40,Pasitas,rojo
41,Chorizo,azul
42,Cazón,azul
43,X,blanco
44,Cebolla,verde
45,X,blanco
46,Leche,azul
47,Pescado,azul
48,X,blanco
49,X,blanco
50,Cebolla,verde
51,Cerdo,azul
52,Chile guajillo,verde
53,X,blanco
54,X,blanco
55,Huevo,azul
56,Res,azul
57,Cebolla,verde
58,X,blanco
59,Queso,azul
60,Cebolla,verde
61,X,blanco
62,X,blanco
63,X,blanco
64,X,blanco
65,X,blanco
66,Manteca de cerdo,azul
67,X,blanco
68,X,blanco
69,Tasajo,azul
70,Cebolla,verde
71,Cebolla morada,verde
