Num,Platillo,Color,
1,Piloncillo,morado
2,Leche,azul
3,Endulzante,morado
4,Azúcar,morado
5,Coco,naranja
6,Pinole,naranja
7,Nuez,rojo
8,Hojas de maíz,morado
9,Aceite,morado
10,Maíz,amarillo
11,Agua,morado
12,Agua,morado
13,Camote,verde
14,Piloncillo,morado
15,Anís,rosa
16,Azúcar,morado
17,Extracto de vainilla,morado
18,Azúcar,morado
19,Azúcar,morado
20,Dulce de leche,azul
21,Huevo,azul
22,Piloncillo,morado
23,Harina de trigo,amarillo
24,Nuez,rojo
25,Azúcar,morado
26,Flor de izote,morado
27,Canela,rosa
28,Canela,rosa
29,Extracto de vainilla,morado
30,Azúcar,morado
31,Calabaza,naranja
32,Cacahuate,rojo
33,Pan,amarillo
34,Limón,naranja
35,Dulce de leche,morado
36,Agua,morado
37,Levadura,morado
38,Maíz,amarillo
39,Papaya,naranja
40,Azúcar,morado
41,Azúcar,morado
42,Piloncillo,morado
43,Limón,naranja
44,Aceite,morado
45,Azúcar,morado
46,Guayaba,naranja
47,Azúcar,morado
48,Plátano macho,naranja
49,Agua,morado
50,Canela,rosa
51,Canela,rosa
52,Harina de trigo,amarillo
53,Azúcar,morado
54,Cacahuate,rojo
55,Limón,naranja
