Num,Platillo,Color,
1,Sal,rosa
2,Cebolla,verde
3,Sal,rosa
4,Clavos,rosa
5,Pimienta,rosa
6,Cerveza,morado
7,Arroz,amarillo
8,Sal,rosa
9,Sal,rosa
10,Tomillo,rosa
11,Sal,rosa
12,Pan molido,amarillo
13,Limón,naranja
14,Sal,rosa
15,Sal,rosa
16,Clavos,rosa
17,Harina de trigo,amarillo
18,Pimienta,rosa
19,Canela,rosa
20,Tomate,naranja
21,Frijol,rojo
22,Chile serrano,verde
23,Aguacate,naranja
24,Frijoles bayos,rojo
25,Chile jalapeño,verde
26,Aceite,morado
27,Jitomate,naranja
28,Aguacate,naranja
29,X,blanco
30,Maíz,amarillo
31,Jitomate,naranja
32,Jitomate,naranja
33,Jitomate,naranja
34,Chile serrano,verde
35,Ajo molido,rosa
36,Chile serrano,verde
37,Comino,rosa
38,Pimienta,rosa
39,Maíz,amarillo
40,Azúcar,morado
41,Frijol,rojo
42,Sal,rosa
43,Pimienta,rosa
44,Achiote,morado
45,Pepitas,rosa
46,Sal,rosa
47,Pimienta,rosa
48,Limón,naranja
49,Laurel,rosa
50,Pimienta,rosa
51,Achiote,morado
52,Comino,rosa
53,Agua,morado
54,Ajo,verde
55,Caldo de pollo,morado
56,Laurel,rosa
57,Clavo,rosa
58,Aguacate,naranja
59,Frijol,rojo
60,Sal,rosa
61,Aguacate,naranja
62,Clavo,rosa
63,Sal,rosa
64,Tortillas,amarillo
65,Sal,rosa
66,Caldo de pollo,rosa
67,Agua,morado
68,Frijol,rojo
69,Aguacate,naranja
70,Clavo,rosa
71,Aceite,morado
