Num,Platillo,Color,
1,Cilantro,verde
2,Chorizo,azul
3,Cebolla,verde
4,Ajo,verde
5,Harina de trigo,amarillo
6,Cebolla,verde
7,Ajo,verde
8,Chile verde,verde
9,Epazote,verde
10,Ajo,verde
11,X,blanco
12,Queso oaxaca,azul
13,Cebolla,verde
14,Chile serrano,verde
15,Cilantro,verde
16,Almendras,rojo
17,Huevo,azul
18,Chile guajillo,verde
19,Naranja,naranja
20,Crema,azul
21,Cebolla,verde
22,X,blanco
23,Cebolla,verde
24,Chile serrano,verde
25,X,blanco
26,Queso,azul
27,Cebolla,verde
28,X,blanco
29,X,blanco
30,Cilantro,verde
31,Huazontle,verde
32,Cebolla,verde
33,Ajo,verde
34,X,blanco
35,Naranja,naranja
36,Leche,azul
37,Cebolla,verde
38,Ajo,verde
39,Zanahoria,verde
40,Canela,rosa
41,Lechuga,verde
42,Epazote,verde
43,Chile guajillo,verde
44,Frijol,rojo
45,Cebolla,verde
46,Poro,verde
47,Masa de maíz,amarillo
48,Pescado,azul
49,Papa,verde
50,Ajonjolí,rojo
51,Jitomate,naranja
52,Tostadas,amarillo
53,X,blanco
54,X,blanco
55,Papa,verde
56,Tostadas,amarillo
57,Jitomate,naranja
58,Ajo,verde
59,Chile serrano,verde
60,Piña,naranja
61,Cebolla,verde
62,Chile verde,verde
63,Chicarrón,azul
64,X,blanco
65,Chile serrano,verde
66,Ajo,verde
67,Cebolla,verde
68,Chile serrano,verde
69,Cebolla,verde
70,Jitomate,naranja
71,Naranja,naranja
