Num,Platillo,Color,
1,Piloncillo,morado
2,Cajeta,morado
3,Azúcar,morado
4,Pinole,morado
5,Azúcar,morado
6,Bicarbonato,morado
7,Chocolate,morado
8,Hojas de maíz,morado
9,Raíz de zarzaparilla,morado
10,Azúcar,morado
11,Agua,morado
12,Piloncillo,morado
13,Pulque,morado
14,Azúcar,morado
15,Palo de tigre,morado
16,Agua mineral,morado
17,Licor de café,morado
18,Piloncillo,morado
19,Azúcar,morado
20,Refresco de limón,morado
21,Aguardiente,morado
22,Limón,naranja
23,Vainilla,morado
24,Damiana,morado
25,Azúcar,morado
26,Tequila,morado
27,Miel,morado
28,Pulque,morado
29,Vermut,morado
30,Salsa de soya,morado
31,Aguardiente,morado
32,Pulque,morado
33,Brandy,morado
34,Flor de jamaica,morado
35,Azúcar,morado
36,Piloncillo,morado
37,Azúcar,morado
38,Cacao,rojo
39,Agua,morado
40,Aguamiel,morado
41,Pimienta,rosa
42,Mezcal,morado
43,Azúcar,morado
44,Agua mineral,morado
45,Jarabe de granadina,morado
46,Agua,morado
47,Anís,rosa
48,Endulzante,morado
49,Agua,morado
50,Agua,morado
51,Azúcar,morado
52,Agua,morado
53,Piloncillo,morado
54,Agua,morado
55,Tequila,morado
56,Aguardiente,morado
57,Tuba*,morado
58,Azúcar,morado
59,Oporto,morado
60,Agua,morado
61,Pulque,morado
62,Agua,morado
