Num,Platillo,Color,
1,Laurel,rosa
2,Salchica,azul
3,Arroz,amarillo
4,Pimienta,rosa
5,Comino,rosa
6,Orégano,rosa
7,Zanahoria,verde
8,Epazote,verde
9,Aguacate,naranja
10,Jitomate,naranja
11,Ajo,verde
12,Chile chipotle,verde
13,Jitomate,naranja
14,Ajo,verde
15,Tortilla,amarillo
16,Pasas,rojo
17,Ajo,verde
18,Vinagre,rosa
19,Laurel,rosa
20,Ajo,verde
21,Chile chipotle,verde
22,Mantequilla,azul
23,Tortilla,amarillo
24,Epazote,verde
25,Chorizo,azul
26,Maíz,amarillo
27,Limón,naranja
28,Cebolla,verde
29,X,blanco
30,Chile,verde
31,Chile serrano,verde
32,Tortillas,amarillo
33,Chile serrano,verde
34,Cebolla,verde
35,Pimentón,rosa
36,Cebolla,verde
37,Maíz pozolero,amarillo
38,Canela,rosa
39,Papa,verde
40,Sal,rosa
41,Papa,verde
42,Limón,naranja
43,Limón,naranja
44,Pimienta,rosa
45,Epazote,verde
46,Harina de trigo,amarillo
47,Aguacate,naranja
48,Chile de árbol,verde
49,Ajo,verde
50,Clavo,rosa
51,Orégano,rosa
52,Orégano,rosa
53,Harina de maíz,amarillo
54,Chile poblano,verde
55,Aceite,morado
56,Limón,naranja
57,Orégano,rosa
58,Tortilla de maíz,amarillo
59,Tomate,verde
60,Comino,rosa
61,Ajo,verde
62,Tortillas,amarillo
63,Cebolla,verde
64,Manteca de cerdo,azul
65,Tortillas,amarillo
66,Harina para tamales,amarillo
67,Sal,rosa
68,Ajo,verde
69,Masa de maíz,amarillo
70,Orégano,rosa
71,Pimienta,rosa
