Num,Platillo,Color,
1,Miel,morado
2,X,blanco
3,Agua,morado
4,Canela,rosa
5,Camote,verde
6,X,blanco
7,Leche condensada,azul
8,Pulque,morado
9,Piloncillo,morado
10,X,blanco
11,Chilacayote,verde
12,Canela,rosa
13,X,blanco
14,Clavo,rosa
15,Pepita de calabaza,rojo
16,Canela,rosa
17,Azúcar,morado
18,Canela,rosa
19,Frijol,rojo
20,X,blanco
21,Mantequilla,azul
22,Garbanzo,rojo
23,Clara de Huevo,azul
24,Leche,azul
25,Sal,rosa
26,Guayaba,naranja
27,Nuez,rojo
28,Piñón,rojo
29,Canela,rosa
30,Yema de Huevo,azul
31,Biznaga,verde
32,Almendra,rojo
33,Mujú,verde
34,X,blanco
35,X,blanco
36,Levadura,morado
37,Bicarbonato de sodio,morado
38,Leche,azul
39,Hoja de higo,naranja
40,Agua,morado
41,Harina de trigo,amarillo
42,Agua,morado
43,Bulbo de orquídea,verde
44,Plátano macho,naranja
45,Maíz,amarillo
46,Yema de Huevo,azul
47,Almendra,rojo
48,Calabaza,naranja
49,Limón,naranja
50,Calabaza,naranja
51,Pulpa de tamarindo,naranja
52,Huevo,azul
53,Sal,rosa
54,X,blanco
55,Leche,azul
