Num,Platillo,Color,
1,Chile serrano,verde
2,Res,azul
3,Cordero,azul
4,Chile guajillo,verde
5,Cebolla,verde
6,Manteca de cerdo,azul
7,Gallina,azul
8,Camarón,azul
9,Ajo,verde
10,Chile árbol,verde
11,X,blanco
12,Res,azul
13,Camarón,azul
14,Chicarrón,azul
15,Queso,azul
16,Granada,naranja
17,X,blanco
18,Chile ancho,verde
19,Chile habanero,verde
20,Pollo,azul
21,Queso,azul
22,X,blanco
23,Queso,azul
24,Chicharrón,azul
25,X,blanco
26,Manteca de cerdo,azul
27,Chile serrano,verde
28,X,blanco
29,X,blanco
30,Crema,azul
31,Queso,azul
32,Huevo,azul
33,Queso,azul
34,X,blanco
35,Chile de árbol,verde
36,X,blanco
37,Pata de res,azul
38,Chile ancho,verde
39,Ejote,verde
40,Pepitas,rojo
41,Cebolla,verde
42,Chile habanero,verde
43,Pancita de res,azul
44,Tortillas,amarillo
45,X,blanco
46,Cebolla,verde
47,Cilantro,verde
48,X,blanco
49,Cebolla,verde
50,Ajo,verde
51,Chile habanero,verde
52,Rábano,verde
53,X,blanco
54,X,blanco
55,Romeritos,verde
56,Chile serrano,verde
57,Ajo,verde
58,Cebolla,verde
59,Manteca de cerdo,azul
60,Chile guajillo,verde
61,Leche,azul
62,Res,azul
63,X,blanco
64,X,blanco
65,Queso,azul
66,Tomate,verde
67,Ajo,verde
68,Queso,azul
69,Queso,azul
70,Ajo,verde
71,Limón,naranja
