Num,Platillo,Color,
1,Limón,naranja
2,Jamón,azul
3,Ajo,verde
4,Cebolla,verde
5,Jitomate,naranja
6,Toronja,naranja
7,Apio,verde
8,Cebollin,verde
9,Zanahoria,verde
10,Limón,naranja
11,Manteca de cerdo,azul
12,Cebolla,verde
13,Cilantro,verde
14,Chile guajillo,verde
15,Chile serrano,verde
16,Piñones,rojo
17,Queso panela,azul
18,Jitomate,naranja
19,Comino,rosa
20,Cebolla,verde
21,Ajo,verde
22,X,blanco
23,Lechuga,verde
24,Ajo,verde
25,Manteca de cerdo,azul
26,Cilantro,verde
27,Chile de árbol,verde
28,X,blanco
29,X,blanco
30,Cebolla,verde
31,Cebolla,verde
32,Chicharos,verde
33,Cebolla,verde
34,Huitlacoche,verde
35,Orégano,rosa
36,Huevo,azul
37,Chile ancho,verde
38,Nopales,verde
39,Chayote,verde
40,Clavos,rosa
41,Chile chipotle,verde
42,Tortillas,amarillo
43,Ajo,verde
44,Comino,rosa
45,Chile habanero,verde
46,Chile serrano,verde
47,Jitomate,naranja
48,Ajo,verde
49,Chícharos,verde
50,Cacahuate,rojo
51,Naranja,naranja
52,Limón,naranja
53,Queso,azul
54,Crema,azul
55,Ajo,verde
56,Jitomate,naranja
57,Lima,naranja
58,Cilatro,verde
59,Ajo,verde
60,Naranja,naranja
61,Cilantro,verde
62,Cebolla,verde
63,Ajo,verde
64,X,blanco
65,Cebolla,verde
66,Cebolla,verde
67,Jitomate,naranja
68,Cebolla,verde
69,Chile serrano,verde
70,Limón,naranja
71,Orégano,rosa
